,Email,Class
244,"['u', 'dont', 'remember', 'that', 'old', 'commercial?']",ham
2752,"['derp', 'which', 'is', 'worse', 'a', 'dude', 'who', 'always', 'wants', 'to', 'party', 'or', 'a', 'dude', 'who', 'files', 'a', 'complaint', 'about', 'the', 'three', 'drug', 'abusers', 'he', 'lives', 'with']",ham
3669,"['ok', 'thanx', 'take', 'care', 'then']",ham
5198,"['shes', 'fine', 'i', 'have', 'had', 'difficulties', 'with', 'her', 'phone', 'it', 'works', 'with', 'mine', 'can', 'you', 'pls', 'send', 'her', 'another', 'friend', 'request']",ham
3922,"['okay', 'lor', 'will', 'they', 'still', 'let', 'us', 'go', 'a', 'not', 'ah?', 'coz', 'they', 'will', 'not', 'know', 'until', 'later', 'we', 'drop', 'our', 'cards', 'into', 'the', 'box', 'right?']",ham
2820,"['oh', 'godtaken', 'the', 'teeth?is', 'it', 'paining']",ham
3201,"['okay', 'lor', 'wah', 'like', 'that', 'def', 'they', 'wont', 'let', 'us', 'go', 'haha', 'what', 'did', 'they', 'say', 'in', 'the', 'terms', 'and', 'conditions?']",ham
2305,"['aight', 'thatll', 'work', 'thanks']",ham
2583,"['hi', 'happy', 'birthday', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi']",ham
3336,"['i', 'am', 'at', 'the', 'gas', 'station', 'go', 'there']",ham
2057,"['ugh', 'fuck', 'it', 'im', 'resubbing', 'to', 'eve']",ham
4706,"['wif', 'my', 'family', 'booking', 'tour', 'package']",ham
1318,['ok'],ham
5117,"['aslamalaikkuminsha', 'allah', 'tohar', 'beeen', 'muht', 'albi', 'mufti', 'mahfuuzmeaning', 'same', 'here']",ham
3597,"['aight', 'well', 'head', 'out', 'in', 'a', 'few']",ham
256,"['mmm', 'so', 'yummy', 'babe', 'nice', 'jolt', 'to', 'the', 'suzy']",ham
725,"['got', 'it!', 'it', 'looks', 'scrumptious', 'daddy', 'wants', 'to', 'eat', 'you', 'all', 'night', 'long!']",ham
4488,"['the', 'new', 'deus', 'ex', 'game', 'comin', 'early', 'next', 'yr']",ham
2625,"['unni', 'thank', 'you', 'dear', 'for', 'the', 'rechargerakhesh']",ham
1080,"['you', 'tell', 'what', 'happen', 'dont', 'behave', 'like', 'this', 'to', 'me', 'ok', 'no', 'need', 'to', 'say']",ham
3389,"['please', 'call', '08712402972', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']",spam
4664,"['ok', 'set', 'let', 'u', 'noe', 'e', 'details', 'later']",ham
