,Email,Class
2512,"['u', 'have', 'won', 'a', 'nokia', '6230', 'plus', 'a', 'free', 'digital', 'camera', 'this', 'is', 'what', 'u', 'get', 'when', 'u', 'win', 'our', 'free', 'auction', 'to', 'take', 'part', 'send', 'nokia', 'to', '83383', 'now', 'pobox114/14tcr/w1', '16']",spam
4439,"['ive', 'got', 'it', 'down', 'to', 'a', 'tea', 'not', 'sure', 'which', 'flavour']",ham
2396,"['neshanthtel', 'me', 'who', 'r', 'u?']",ham
1331,"['good', 'morning', 'plz', 'call', 'me', 'sir']",ham
1217,"['damn', 'can', 'you', 'make', 'it', 'tonight', 'or', 'do', 'you', 'want', 'to', 'just', 'wait', 'til', 'tomorrow']",ham
2213,"['ok', 'then', 'ill', 'let', 'him', 'noe', 'later', 'n', 'ask', 'him', 'call', 'u', 'tmr']",ham
1523,"['yup', 'ok', 'thanx']",ham
4892,"['send', 'me', 'the', 'new', 'number']",ham
1157,"['hes', 'an', 'adult', 'and', 'would', 'learn', 'from', 'the', 'experience', 'theres', 'no', 'real', 'danger', 'i', 'just', 'dont', 'like', 'peeps', 'using', 'drugs', 'they', 'dont', 'need', 'but', 'no', 'comment']",ham
5479,"['really', 'do', 'hope', 'the', 'work', 'doesnt', 'get', 'stressful', 'have', 'a', 'gr8', 'day']",ham
771,"['lol!', 'u', 'drunkard!', 'just', 'doing', 'my', 'hair', 'at', 'd', 'moment', 'yeah', 'still', 'up', '4', 'tonight', 'wats', 'the', 'plan?']",ham
1541,"['do', 'u', 'konw', 'waht', 'is', 'rael', 'friendship', 'im', 'gving', 'yuo', 'an', 'exmpel', 'jsut', 'ese', 'tihs', 'msg', 'evrey', 'splleing', 'of', 'tihs', 'msg', 'is', 'wrnog', 'bt', 'sitll', 'yuo', 'can', 'raed', 'it', 'wihtuot', 'ayn', 'mitsake', 'goodnight', '&amp;', 'have', 'a', 'nice', 'sleepsweet', 'dreams']",ham
1642,"['u', 'will', 'switch', 'your', 'fone', 'on', 'dammit!!']",ham
3852,"['dont', 'worry', '1', 'day', 'very', 'big', 'lambu', 'ji', 'vl', 'cometil', 'then', 'enjoy', 'batchlor', 'party-']",ham
4777,"['u', 'r', 'the', 'most', 'beautiful', 'girl', 'ive', 'ever', 'seen', 'u', 'r', 'my', 'baby', 'come', 'and', 'c', 'me', 'in', 'the', 'common', 'room']",ham
4314,"['captain', 'is', 'in', 'our', 'room']",ham
4304,"['yo', 'come', 'over', 'carlos', 'will', 'be', 'here', 'soon']",ham
1024,"['hasnt', 'that', 'been', 'the', 'pattern', 'recently', 'crap', 'weekends?']",ham
3618,"['8007', '25p', '4', 'alfie', 'moons', 'children', 'in', 'need', 'song', 'on', 'ur', 'mob', 'tell', 'ur', 'm8s', 'txt', 'tone', 'charity', 'to', '8007', 'for', 'nokias', 'or', 'poly', 'charity', 'for', 'polys', 'zed', '08701417012', 'profit', '2', 'charity']",spam
5069,"['5p', '4', 'alfie', 'moons', 'children', 'in', 'need', 'song', 'on', 'ur', 'mob', 'tell', 'ur', 'm8s', 'txt', 'tone', 'charity', 'to', '8007', 'for', 'nokias', 'or', 'poly', 'charity', 'for', 'polys', 'zed', '08701417012', 'profit', '2', 'charity']",spam
3431,"['camera', '-', 'you', 'are', 'awarded', 'a', 'sipix', 'digital', 'camera!', 'call', '09061221066', 'fromm', 'landline', 'delivery', 'within', '28', 'days']",spam
2114,"['well', 'i', 'wasnt', 'available', 'as', 'i', 'washob', 'nobbing', 'with', 'last', 'night', 'so', 'they', 'had', 'to', 'ask', 'nickey', 'platt', 'instead', 'of', 'me!;']",ham
407,"['hello!', 'good', 'week?', 'fancy', 'a', 'drink', 'or', 'something', 'later?']",ham
4927,"['just', 'hopeing', 'that', 'wasn‰û÷t', 'too', 'pissed', 'up', 'to', 'remember', 'and', 'has', 'gone', 'off', 'to', 'his', 'sisters', 'or', 'something!']",ham
5418,"['so', 'how', 'are', 'you', 'really', 'what', 'are', 'you', 'up', 'to', 'hows', 'the', 'masters', 'and', 'so', 'on']",ham
5432,"['thanx', 'a', 'lot', '4', 'ur', 'help!']",ham
501,"['when', 'can', 'ì_', 'come', 'out?']",ham
4867,"['watching', 'cartoon', 'listening', 'music', '&amp;', 'at', 'eve', 'had', 'to', 'go', 'temple', '&amp;', 'church', 'what', 'about', 'u?']",ham
4475,"['ill', 'pick', 'you', 'up', 'at', 'about', '515pm', 'to', 'go', 'to', 'taunton', 'if', 'you', 'still', 'want', 'to', 'come']",ham
97,"['i', 'see', 'when', 'we', 'finish', 'we', 'have', 'loads', 'of', 'loans', 'to', 'pay']",ham
970,"['yar', 'lor', 'he', 'wan', '2', 'go', 'c', 'horse', 'racing', 'today', 'mah', 'so', 'eat', 'earlier', 'lor', 'i', 'ate', 'chicken', 'rice', 'u?']",ham
674,"['ive', 'got', '&lt;#&gt;', 'any', 'way', 'i', 'could', 'pick', 'up?']",ham
4067,"['tbs/persolvo', 'been', 'chasing', 'us', 'since', 'sept', 'forå£38', 'definitely', 'not', 'paying', 'now', 'thanks', 'to', 'your', 'information', 'we', 'will', 'ignore', 'them', 'kath', 'manchester']",spam
285,"['k', 'i', 'might', 'come', 'by', 'tonight', 'then', 'if', 'my', 'class', 'lets', 'out', 'early']",ham
1659,"['no', 'just', 'send', 'to', 'you', 'bec', 'you', 'in', 'temple', 'na']",ham
3844,"['mmmm', 'i', 'cant', 'wait', 'to', 'lick', 'it!']",ham
4030,"['sorry', 'vikky', 'im', 'watching', 'olave', 'mandara', 'movie', 'kano', 'in', 'trishul', 'theatre', 'wit', 'my', 'frnds']",ham
3246,"['*', 'you', 'gonna', 'ring', 'this', 'weekend', 'or', 'wot?']",ham
3991,"['dizzamn', 'aight', 'ill', 'ask', 'my', 'suitemates', 'when', 'i', 'get', 'back']",ham
3221,"['hi', 'my', 'love!', 'how', 'goes', 'that', 'day?', 'fuck', 'this', 'morning', 'i', 'woke', 'and', 'dropped', 'my', 'cell', 'on', 'the', 'way', 'down', 'the', 'stairs', 'but', 'it', 'seems', 'alright', '*phews*', 'i', 'miss', 'you', '!']",ham
476,"['love', 'you', 'aathilove', 'u', 'lot']",ham
4212,"['i', 'attended', 'but', 'nothing', 'is', 'there']",ham
1575,"['sounds', 'gd', 'haha', 'can', 'wah', 'u', 'yan', 'jiu', 'so', 'fast', 'liao']",ham
4806,"['private!', 'your', '2004', 'account', 'statement', 'for', '078498****7', 'shows', '786', 'unredeemed', 'bonus', 'points', 'to', 'claim', 'call', '08719180219', 'identifier', 'code', '45239', 'expires', '060505']",spam
2697,"['from', '88066', 'lost', 'å£12', 'help']",spam
2924,"['are', 'you', 'coming', 'to', 'day', 'for', 'class']",ham
3546,"['rock', 'yr', 'chik', 'get', '100s', 'of', 'filthy', 'films', '&xxx', 'pics', 'on', 'yr', 'phone', 'now', 'rply', 'filth', 'to', '69669', 'saristar', 'ltd', 'e14', '9yt', '08701752560', '450p', 'per', '5', 'days', 'stop2', 'cancel']",spam
2914,"['nothing', 'lor', 'a', 'bit', 'bored', 'too', 'then', 'y', 'dun', 'u', 'go', 'home', 'early', '2', 'sleep', 'today']",ham
3583,"['hi', '07734396839', 'ibh', 'customer', 'loyalty', 'offer', 'the', 'new', 'nokia6600', 'mobile', 'from', 'only', 'å£10', 'at', 'txtauction!txt', 'wordstart', 'to', 'no81151', '&', 'get', 'yours', 'now!4t&']",spam
161,"['new', 'car', 'and', 'house', 'for', 'my', 'parentsi', 'have', 'only', 'new', 'job', 'in', 'hand']",ham
4570,"['\\cha', 'quiteamuzing', 'thatåõscool', 'babe']",ham
3304,"['ee', 'msg', 'na', 'poortiyagi', 'odalebeku', 'hanumanji', '7', 'name', '1-hanuman', '2-bajarangabali', '3-maruti', '4-pavanaputra', '5-sankatmochan', '6-ramaduth', '7-mahaveer', 'ee', '7', 'name', '&lt;#&gt;', 'janarige', 'ivatte', 'kalisidare', 'next', 'saturday', 'olage', 'ondu', 'good', 'news', 'keluviri!', 'maretare', 'inde', '1', 'dodda', 'problum', 'nalli', 'siguviri', 'idu', 'matra', '&lt;#&gt;', '%', 'true', 'dont', 'neglet']",ham
1014,"['ya', 'toldshe', 'was', 'asking', 'wats', 'matter?']",ham
2124,"['sorry', 'im', 'getting', 'up', 'now', 'feel', 'really', 'bad-', 'totally', 'rejected', 'that', 'kinda', 'me', 'thing']",ham
1460,"['yalru', 'lyfu', 'astne', 'chikku', 'bt', 'innu', 'mundhe', 'lyf', 'ali', 'halla', 'ke', 'bilo', 'marriageprogram', 'edhae', 'so', 'lyf', 'is', 'nt', 'yet', 'ovr', 'chikkuali', 'vargu', 'lyfu', 'meow', 'meow-d']",ham
4066,"['you', 'are', 'being', 'contacted', 'by', 'our', 'dating', 'service', 'by', 'someone', 'you', 'know!', 'to', 'find', 'out', 'who', 'it', 'is', 'call', 'from', 'your', 'mobile', 'or', 'landline', '09064017305', 'pobox75ldns7']",spam
1182,"['k', 'give', 'me', 'a', 'sec', 'breaking', 'a', '&lt;#&gt;', 'at', 'cstore']",ham
2640,"['you', 'are', 'guaranteed', 'the', 'latest', 'nokia', 'phone', 'a', '40gb', 'ipod', 'mp3', 'player', 'or', 'a', 'å£500', 'prize!', 'txt', 'word', 'collect', 'to', 'no', '83355!', 'ibhltd', 'ldnw15h', '150p/mtmsgrcvd18']",spam
2137,"['k', 'still', 'are', 'you', 'loving', 'me']",ham
3499,"['dorothy@kiefercom', 'bank', 'of', 'granite', 'issues', 'strong-buy', 'explosive', 'pick', 'for', 'our', 'members', '*****up', 'over', '300%', '***********', 'nasdaq', 'symbol', 'cdgt', 'that', 'is', 'a', '$500', 'per']",spam
4674,"['hi', 'babe', 'its', 'chloe', 'how', 'r', 'u?', 'i', 'was', 'smashed', 'on', 'saturday', 'night', 'it', 'was', 'great!', 'how', 'was', 'your', 'weekend?', 'u', 'been', 'missing', 'me?', 'sp', 'visionsmscom', 'text', 'stop', 'to', 'stop', '150p/text']",spam
1671,"['urgent!', 'we', 'are', 'trying', 'to', 'contact', 'u', 'todays', 'draw', 'shows', 'that', 'you', 'have', 'won', 'a', 'å£800', 'prize', 'guaranteed', 'call', '09050001295', 'from', 'land', 'line', 'claim', 'a21', 'valid', '12hrs', 'only']",spam
843,"['urgent!', 'call', '09066350750', 'from', 'your', 'landline', 'your', 'complimentary', '4*', 'ibiza', 'holiday', 'or', '10000', 'cash', 'await', 'collection', 'sae', 't&cs', 'po', 'box', '434', 'sk3', '8wp', '150', 'ppm', '18+']",spam
4481,"['what', 'do', 'u', 'reckon', 'as', 'need', '2', 'arrange', 'transport', 'if', 'u', 'cant', 'do', 'it', 'thanks']",ham
5370,"['datingi', 'have', 'had', 'two', 'of', 'these', 'only', 'started', 'after', 'i', 'sent', 'a', 'text', 'to', 'talk', 'sport', 'radio', 'last', 'week', 'any', 'connection', 'do', 'you', 'think', 'or', 'coincidence?']",spam
4749,"['if', 'youre', 'still', 'up', 'maybe', 'leave', 'the', 'credit', 'card', 'so', 'i', 'can', 'get', 'gas', 'when', 'i', 'get', 'back', 'like', 'he', 'told', 'me', 'to']",ham
5402,"['hi', 'babe', 'its', 'me', 'thanks', 'for', 'coming', 'even', 'though', 'it', 'didnt', 'go', 'that', 'well!i', 'just', 'wanted', 'my', 'bed!', 'hope', 'to', 'see', 'you', 'soon', 'love', 'and', 'kisses', 'xxx']",ham
4954,"['doing', 'my', 'masters', 'when', 'will', 'you', 'buy', 'a', 'bb', 'cos', 'i', 'have', 'for', 'sale', 'and', 'hows', 'bf']",ham
709,"['4mths', 'half', 'price', 'orange', 'line', 'rental', '&', 'latest', 'camera', 'phones', '4', 'free', 'had', 'your', 'phone', '11mths+?', 'call', 'mobilesdirect', 'free', 'on', '08000938767', 'to', 'update', 'now!', 'or2stoptxt', 't&cs']",spam
4796,"['santa', 'calling!', 'would', 'your', 'little', 'ones', 'like', 'a', 'call', 'from', 'santa', 'xmas', 'eve?', 'call', '09077818151', 'to', 'book', 'you', 'time', 'calls150ppm', 'last', '3mins', '30s', 't&c', 'wwwsantacallingcom']",spam
2702,"['yup', 'no', 'more', 'already', 'thanx', '4', 'printing', 'n', 'handing', 'it', 'up']",ham
3296,"['todays', 'voda', 'numbers', 'ending', '5226', 'are', 'selected', 'to', 'receive', 'a', '?350', 'award', 'if', 'you', 'hava', 'a', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '1131', 'standard', 'rates', 'app']",spam
2940,"['my', 'supervisor', 'find', '4', 'me', 'one', 'lor', 'i', 'thk', 'his', 'students', 'i', 'havent', 'ask', 'her', 'yet', 'tell', 'u', 'aft', 'i', 'ask', 'her']",ham
3345,"['ure', 'welcome', 'caught', 'u', 'using', 'broken', 'english', 'again']",ham
